timestamp,price_idr
2024-11-19,1468933516.4428468
2024-11-20,1483785556.828645
2024-11-21,1545404202.5918114
2024-11-22,1572471518.9965236
2024-11-23,1569646758.4305146
2024-11-24,1554606047.1957881
2024-11-25,1537239756.4048812
2024-11-26,1482005429.8249853
2024-11-27,1495890213.4903786
2024-11-28,1514442310.549652
2024-11-29,1535358907.6740959
2024-11-30,1532788357.8937407
2024-12-01,1534563204.7413719
2024-12-02,1528387362.9869516
2024-12-03,1522051527.6376092
2024-12-04,1536328522.2232418
2024-12-05,1605352693.9254026
2024-12-06,1567746872.406922
2024-12-07,1583406552.860945
2024-12-08,1583758172.6262386
2024-12-09,1563075861.5240793
2024-12-10,1539372524.0206263
2024-12-11,1572938320.4787037
2024-12-12,1608926191.4364872
2024-12-13,1609289789.3156831
2024-12-14,1627184273.235811
2024-12-15,1642471296.0930939
2024-12-16,1686874486.6174018
2024-12-17,1717115136.8972034
2024-12-18,1678253398.3472836
2024-12-19,1651551214.7098033
